"","CD274-201","CD274-202","CD274-203","CD274-204","CD274-205","CNIH4-201","CNIH4-202","CNIH4-203","CNIH4-204","CNIH4-205","CNIH4-206","CNIH4-207","CNIH4-208"
"HOA7812A26",7.56030645247317,7.41863644872521,7.10157229046982,7.49203371261846,7.10157229046982,7.50916422038396,7.10157229046982,8.23168273620822,7.66562580112971,7.95355021687838,7.63485584561953,7.10157229046982,7.76644296378923
"HOA7812A251",7.50776109709213,7.58858286964695,7.63890823487492,7.61693754902266,7.48255414532423,7.34787847422398,7.90594165177858,7.10157229046982,7.98894965195715,7.79905246807209,7.40747028133564,7.10157229046982,7.66136623274835
"HOA7812A250",8.43855475108585,8.80678702598945,8.47152887496288,8.63956288014891,8.90498531734238,8.50456732663603,8.55009269352807,8.13740384920708,8.51765465306529,8.39276589140177,8.35521412104705,8.50018383756835,8.23596638662628
"HOA7812A25",8.37671426123566,8.40093908908008,8.45726125622047,8.44730411802707,8.36581617719956,8.30550961560856,8.28174348342744,8.03187475843205,8.25976114113549,8.30903112766332,8.18614915306049,8.6515904750037,8.27116123140943
"HOA7812A249",8.43855475108585,8.42708776799897,8.6835149180076,8.56718958698255,8.29545976339824,8.00924106074347,8.32465245708303,7.10157229046982,8.4788664350738,8.23619473828476,8.12226631407862,7.82110514095775,8.02193301200707
"HOA7812A248",7.99349199198637,8.08168218988387,7.61805463110305,8.16748177022584,8.49351994707058,7.9690045106,8.05284450138487,7.10157229046982,8.08667335697633,8.18611605678008,7.78473214187729,7.82110514095775,8.08224428886934
"HOA7812A247",8.13178598510646,8.15561459060048,8.26863402604908,8.14668076210709,8.67347426085898,8.2045977523879,8.5200464681343,8.39624896380371,8.42946320382115,8.25698496606573,7.95261810731481,7.82110514095775,8.12588796015597
"HOA7812A246",7.65006359213427,7.69733136401423,7.79785573717481,7.80077387562202,7.63881924371571,7.74859284261638,7.97119153630414,7.76499130988345,8.01808033603225,8.03670148838284,7.95586787480659,7.82110514095775,7.88267344190844
"HOA7812A245",7.60726094599746,7.55883121760589,7.40082168605961,7.51556247695013,7.48255414532423,7.8335133059066,7.77505421702232,7.10157229046982,7.98894965195715,8.07880273755456,7.86271375838976,8.10912368493168,8.09996646520781
"HOA7812A244",8.31766690179295,8.42671879739783,8.45005488737915,8.41908744488863,8.23917404393871,8.2045977523879,8.13364681024122,7.10157229046982,8.11899549568035,8.12842736841342,8.20809091283146,7.82110514095775,8.1510683799215
"HOA7812A243",8.21061399356235,8.29728332786237,8.37512279789544,8.29417739232992,8.46301680909726,7.85313405548014,8.23685229046739,8.13740384920708,8.18029183356588,8.27491450032523,8.2435517821813,8.50018383756835,8.29983510544111
"HOA7812A242",8.69900560656899,8.37914731102097,8.1967807973684,8.26867714702796,8.36581617719956,7.89989776031686,8.39557929711511,8.60255407538564,8.10621085039001,8.11796086475109,8.10081284896223,8.50018383756835,8.13013464366845
"HOA7812A241",7.50776109709213,7.58858286964695,7.43599416162618,7.54847957263708,7.10157229046982,7.87221230272833,7.57993749258054,7.10157229046982,8.02520127597751,8.13126042060166,7.94278489855839,8.32390689977824,8.0456499588328
"HOA7812A240",8.35089720016446,8.25069183026744,8.09825753154907,8.25004173689709,8.7477991107425,8.46671008524187,8.67039954606394,7.76499130988345,8.4788664350738,8.0827997453281,8.30206175351806,8.50018383756835,8.27297834100816
"HOA7812A24",8.09819950056275,8.02887728099395,7.84285627610536,8.13822330729672,7.85708910690214,8.210840204743,8.05284450138487,7.10157229046982,8.18029183356588,8.00337831535629,8.32792865246084,8.50018383756835,7.9619861822139
